fecha;referencia;codigo;descripcion;debitos;creditos;balance;source_file
2026-01-23;406495765;TF;TEF DE: 959932377;0.0;10850.0;45062.42;gastos enero 2026.xls
2026-01-23;406497777;TF;TEF DE: 959932377;0.0;2500.0;47562.42;gastos enero 2026.xls
2026-01-24;12300000;CP;AMPM BANCO CENTRAL\   SAN JOSE;1344.0;0.0;46218.42;gastos enero 2026.xls
2026-01-24;12300000;CP;SINPE TP\             SAN JOSE;440.0;0.0;45778.42;gastos enero 2026.xls
2026-01-24;406439275;TF;TEF DE: 959932377;0.0;10000.0;55778.42;gastos enero 2026.xls
2026-01-25;12400000;CP;COCINA MAMA\          CARMEN;3850.0;0.0;51928.42;gastos enero 2026.xls
2026-01-25;12400000;CP;SERVICENTRO RUTA 20  \SANTO DO;10000.0;0.0;41928.42;gastos enero 2026.xls
2026-01-25;406488456;TF;TEF DE: 959932377;0.0;12000.0;53928.42;gastos enero 2026.xls
2026-01-26;12500000;CP;BURGER KING CURRIDABATCURRIDAB;3500.0;0.0;50428.42;gastos enero 2026.xls
2026-01-26;12500000;CP;LIBRERIA INTERNACIONALSAN JOSE;10850.0;0.0;39578.42;gastos enero 2026.xls
2026-01-26;12500000;CP;MXM STO DOMING OCN00PVHEREDIA;17100.0;0.0;22478.42;gastos enero 2026.xls
2026-01-27;12600000;CP;PRICE SMART\          HEREDIA;9995.0;0.0;12483.42;gastos enero 2026.xls
2026-01-27;12600000;CP;SUBWAY SANTO DOMINGO\ HEREDIA;9900.0;0.0;2583.42;gastos enero 2026.xls
2026-01-28;406416063;TF;TEF DE: 959932377;0.0;2000.0;4583.42;gastos enero 2026.xls
2026-01-29;406415997;TF;TEF DE: 959932377;0.0;4000.0;8583.42;gastos enero 2026.xls
2026-01-30;12900000;CP;COSECHAS CORREO CR   \SAN JOSE;2200.0;0.0;6383.42;gastos enero 2026.xls
2026-01-30;12900000;CP;SINPE TP\             SAN JOSE;440.0;0.0;5943.42;gastos enero 2026.xls
2026-01-30;406403081;TF;TEF DE: 959932377;0.0;5000.0;10943.42;gastos enero 2026.xls
2026-01-31;13023841;CP;PEDIDOS YA RESTAURANTE CYBS EC;4320.0;0.0;6623.42;gastos enero 2026.xls
2026-01-31;966527159;TF;SINPE MOVIL Didi___________;3050.0;0.0;3573.42;gastos enero 2026.xls
2025-11-02;110100000;CP;SERVICENTRO CICSA\    SAN JOSE;25000.0;0.0;13587.96;gastos noviembre 2025.xls
2025-11-02;110100000;CP;COFFEE GARDEN\        SAN JOSE;1400.0;0.0;12187.96;gastos noviembre 2025.xls
2025-11-02;74836;TF;SEGURO BELD121489;1781.5;0.0;10406.46;gastos noviembre 2025.xls
2025-11-02;406431854;TF;TEF DE: 959932377;0.0;2000.0;12406.46;gastos noviembre 2025.xls
2025-11-03;110200000;CP;AUTO MERCADO SANTO DOMHEREDIA;6295.0;0.0;6111.46;gastos noviembre 2025.xls
2025-11-03;110200000;CP;AUTO MERCADO SANTO DOMHEREDIA;1400.0;0.0;4711.46;gastos noviembre 2025.xls
2025-11-03;110200000;CP;CASTILLO COUNTRY CLUB\SAN RAFA;3100.0;0.0;1611.46;gastos noviembre 2025.xls
2025-11-04;110300000;CP;MUNDOVENDING NAYAX   \HEREDIA;700.0;0.0;911.46;gastos noviembre 2025.xls
2025-11-05;110400000;CP;MUNDOVENDING NAYAX   \HEREDIA;700.0;0.0;211.46;gastos noviembre 2025.xls
2025-11-05;406417499;TF;TEF DE: 959932377;0.0;15000.0;15211.46;gastos noviembre 2025.xls
2025-11-06;406432690;TF;TEF DE: 959932377;0.0;3000.0;18211.46;gastos noviembre 2025.xls
2025-11-06;406444210;TF;TEF DE: 959932377;0.0;5500.0;23711.46;gastos noviembre 2025.xls
2025-11-07;406475749;TF;TEF DE: 958938953;0.0;20000.0;43711.46;gastos noviembre 2025.xls
2025-11-08;110700000;CP;AUTO MERCADO SANTO DOMHEREDIA;9010.0;0.0;34701.46;gastos noviembre 2025.xls
2025-11-08;110700000;CP;MUNDO COSMETICO PROFESSAN JOSE;2500.0;0.0;32201.46;gastos noviembre 2025.xls
2025-11-08;110700000;CP;PASTELERIA SANTO DOMINHEREDIA;2325.0;0.0;29876.46;gastos noviembre 2025.xls
2025-11-09;110800000;CP;DLC*ARCOS DORADOS\    SAN JOSE;9480.0;0.0;20396.46;gastos noviembre 2025.xls
2025-11-09;110700248;CP;GASOLINERA LOS REYES;10000.0;0.0;10396.46;gastos noviembre 2025.xls
2025-11-09;110800000;CP;SUPER MEGA MAS Y MAS\ HEREDIA;3200.0;0.0;7196.46;gastos noviembre 2025.xls
2025-11-09;406489630;TF;TEF DE: 958938953;0.0;2000.0;9196.46;gastos noviembre 2025.xls
2025-11-09;966548399;TF;SINPE_Móvil_Empanada_Uber_eats;0.0;1700.0;10896.46;gastos noviembre 2025.xls
2025-11-10;406442694;TF;TEF DE: 958938953;0.0;7500.0;18396.46;gastos noviembre 2025.xls
2025-11-10;406470980;TF;TEF DE: 958938953;0.0;10000.0;28396.46;gastos noviembre 2025.xls
2025-11-11;111000000;CP;ECOMMERCE STARBUCKS COESCAZU;3850.0;0.0;24546.46;gastos noviembre 2025.xls
2025-11-11;406427195;TF;TEF DE: 959932377;0.0;1000.0;25546.46;gastos noviembre 2025.xls
2025-11-11;960496631;MC;CD SINPE CAJA SEGURO SOCIAL;0.0;16000.0;41546.46;gastos noviembre 2025.xls
2025-11-12;111100000;CP;MINISUPER VISTA LOS SUPUNTAREN;4000.0;0.0;37546.46;gastos noviembre 2025.xls
2025-11-12;111100000;CP;GLOBAL VIA RUTA 27\   SAN JOSE;820.0;0.0;36726.46;gastos noviembre 2025.xls
2025-11-12;111100000;CP;MUNDOVENDING NAYAX   \HEREDIA;700.0;0.0;36026.46;gastos noviembre 2025.xls
2025-11-12;958486622;TS;SINPE MOVIL Sin_Descripcion;1700.0;0.0;34326.46;gastos noviembre 2025.xls
2025-11-13;111200000;CP;ESTACION DE SERVICIO TSAN JOSE;10000.0;0.0;24326.46;gastos noviembre 2025.xls
2025-11-13;111200000;CP;MXM STO DOMING OCN00PVHEREDIA;7590.0;0.0;16736.46;gastos noviembre 2025.xls
2025-11-13;111200000;CP;SUPER MEGA MAS Y MAS\ HEREDIA;1150.0;0.0;15586.46;gastos noviembre 2025.xls
2025-11-13;966521902;TF;SINPE_Móvil_Sin_Descripcion;0.0;3500.0;19086.46;gastos noviembre 2025.xls
2025-11-13;966427602;TF;SINPE_Móvil_Mascarillas_de_Ann;0.0;7000.0;26086.46;gastos noviembre 2025.xls
2025-11-14;111300000;CP;ISLA DEL COCO\        SAN JOSE;2000.0;0.0;24086.46;gastos noviembre 2025.xls
2025-11-15;966555821;TF;SINPE MOVIL Gasolina_______;10000.0;0.0;14086.46;gastos noviembre 2025.xls
2025-11-15;406466231;TF;TEF DE: 959932377;0.0;7000.0;21086.46;gastos noviembre 2025.xls
2025-11-16;111500000;CP;LEBLON COFFE SHOP\    SAN JOSE;1700.0;0.0;19386.46;gastos noviembre 2025.xls
2025-11-16;111500000;CP;LEBLON COFFE SHOP\    SAN JOSE;1500.0;0.0;17886.46;gastos noviembre 2025.xls
2025-11-16;111500000;CP;COCINA MAMA\          CARMEN;4100.0;0.0;13786.46;gastos noviembre 2025.xls
2025-11-16;111500000;CP;SUPER MEGA MAS Y MAS\ HEREDIA;2400.0;0.0;11386.46;gastos noviembre 2025.xls
2025-11-16;111500000;CP;SUPER MEGA MAS Y MAS\ HEREDIA;700.0;0.0;10686.46;gastos noviembre 2025.xls
2025-11-16;958484363;TS;SINPE MOVIL Gorrito_navidad;1500.0;0.0;9186.46;gastos noviembre 2025.xls
2025-11-16;406438698;TF;TEF DE: 959932377;0.0;8000.0;17186.46;gastos noviembre 2025.xls
2025-11-17;406456210;TF;TEF DE: 959932377;0.0;14000.0;31186.46;gastos noviembre 2025.xls
2025-11-18;111700000;CP;DLC*ARCOS DORADOS\    SAN JOSE;7480.0;0.0;23706.46;gastos noviembre 2025.xls
2025-11-18;111700000;CP;PAN Y CAF. GRANIER CALAN JOSE;3900.0;0.0;19806.46;gastos noviembre 2025.xls
2025-11-19;111800000;CP;SUPER MEGA MAS Y MAS\ HEREDIA;3135.0;0.0;16671.46;gastos noviembre 2025.xls
2025-11-20;111900000;CP;MACROBIOTICA MI SALUD SANTO DO;10850.0;0.0;5821.46;gastos noviembre 2025.xls
2025-11-20;406489801;TF;TEF DE: 959932377;0.0;5000.0;10821.46;gastos noviembre 2025.xls
2025-11-21;406401952;TF;TEF DE: 959932377;0.0;12000.0;22821.46;gastos noviembre 2025.xls
2025-11-22;406452203;TF;TEF DE: 959932377;0.0;5000.0;27821.46;gastos noviembre 2025.xls
2025-11-22;406459459;TF;TEF DE: 959932377;0.0;5000.0;32821.46;gastos noviembre 2025.xls
2025-11-22;406484224;TF;TEF DE: 959932377;0.0;10000.0;42821.46;gastos noviembre 2025.xls
2025-11-23;112200000;CP;COFFEE GARDEN\        SAN JOSE;1400.0;0.0;41421.46;gastos noviembre 2025.xls
2025-11-23;112200000;CP;AM PM LAGUNILLA\      HEREDIA;6300.0;0.0;35121.46;gastos noviembre 2025.xls
2025-11-24;112300000;CP;BAR Y RESTAURANTE TK CSANTO DO;12685.0;0.0;22436.46;gastos noviembre 2025.xls
2025-11-24;966471171;TF;SINPE MOVIL Didi___________;2450.0;0.0;19986.46;gastos noviembre 2025.xls
2025-11-25;112400000;CP;RESTAURANTE COSI PASEOHEREDIA;6950.0;0.0;13036.46;gastos noviembre 2025.xls
2025-11-25;112400000;CP;WALMART HEREDIA ESTE\ HEREDIA;10900.0;0.0;2136.46;gastos noviembre 2025.xls
2025-11-26;112500000;CP;MUNDOVENDING NAYAX   \HEREDIA;700.0;0.0;1436.46;gastos noviembre 2025.xls
2025-11-26;406410499;TF;TEF DE: 959932377;0.0;15000.0;16436.46;gastos noviembre 2025.xls
2025-11-28;966411539;TF;SINPE_Móvil_Sin_Descripcion;0.0;11000.0;27436.46;gastos noviembre 2025.xls
2025-11-28;966414766;TF;SINPE MOVIL Ts_____________;9500.0;0.0;17936.46;gastos noviembre 2025.xls
2025-11-28;406419464;TF;TEF DE: 959932377;0.0;11000.0;28936.46;gastos noviembre 2025.xls
2025-11-29;112800000;CP;AUTO MERCADO SANTO DOMHEREDIA;10700.0;0.0;18236.46;gastos noviembre 2025.xls
2025-11-29;112800000;CP;SINPE TP\             SAN JOSE;445.0;0.0;17791.46;gastos noviembre 2025.xls
2025-11-30;112900000;CP;FARMAVALUE HEREDIA, SAHEREDIA;11869.94;0.0;5921.52;gastos noviembre 2025.xls
2025-11-30;406487232;TF;TEF DE: 959932377;0.0;3000.0;8921.52;gastos noviembre 2025.xls
